               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  46,            0.029808,            0.013505,           0.0040013,             0.73557,             0.86603,             0.78739,              0.5371,            0.027314,           0.0054689,           0.0031352,            0.009109,            0.009109,            0.009109
                  47,            0.029632,            0.013668,           0.0039445,             0.71345,             0.85953,             0.78219,             0.54273,            0.027332,           0.0054368,           0.0029056,           0.0090892,           0.0090892,           0.0090892
                  48,            0.029421,            0.013459,           0.0037848,             0.73744,             0.86708,              0.7947,             0.55298,            0.027347,           0.0053845,           0.0028463,           0.0090694,           0.0090694,           0.0090694
                  49,            0.029252,            0.013426,           0.0039523,             0.74409,             0.86266,             0.79273,             0.55344,            0.026699,            0.005359,           0.0028296,           0.0090496,           0.0090496,           0.0090496
                  50,            0.029368,            0.013323,           0.0039243,             0.75945,             0.86818,             0.80607,             0.56015,            0.026934,           0.0052869,           0.0028786,           0.0090298,           0.0090298,           0.0090298
                  51,            0.029234,            0.013269,           0.0038806,             0.74769,             0.86744,              0.7941,             0.55257,            0.026854,           0.0053986,           0.0029454,             0.00901,             0.00901,             0.00901
                  52,            0.029057,            0.013266,           0.0040402,             0.76155,             0.86946,             0.80297,             0.56043,            0.026835,           0.0053036,           0.0027944,           0.0089902,           0.0089902,           0.0089902
                  53,            0.028987,            0.013553,           0.0040401,             0.75824,             0.85998,             0.79633,             0.55157,            0.026578,           0.0053065,           0.0028972,           0.0089704,           0.0089704,           0.0089704
                  54,            0.029164,            0.013192,           0.0038907,             0.75872,              0.8681,             0.79837,             0.55927,            0.026792,           0.0052702,           0.0028265,           0.0089506,           0.0089506,           0.0089506
                  55,            0.028711,            0.013233,           0.0039265,              0.7536,             0.85824,             0.79532,             0.55865,            0.026849,           0.0052867,           0.0028498,           0.0089308,           0.0089308,           0.0089308
                  56,            0.029192,            0.013391,           0.0040377,             0.75038,             0.86827,             0.79668,              0.5553,            0.026704,           0.0052766,           0.0029661,            0.008911,            0.008911,            0.008911
                  57,            0.029436,            0.013428,           0.0042605,             0.75054,             0.87479,              0.7971,             0.55536,            0.026671,            0.005266,           0.0027497,           0.0088912,           0.0088912,           0.0088912
                  58,             0.02902,            0.013412,           0.0040397,             0.74884,             0.87551,             0.79557,             0.55281,            0.026954,           0.0052733,           0.0028531,           0.0088714,           0.0088714,           0.0088714
                  59,            0.028839,            0.013265,           0.0039624,             0.75961,             0.85671,             0.80071,             0.56242,            0.026312,           0.0052112,           0.0028389,           0.0088516,           0.0088516,           0.0088516
                  60,            0.028619,            0.013087,             0.00402,             0.75636,             0.85965,             0.79526,             0.56063,            0.025964,           0.0052159,            0.002867,           0.0088318,           0.0088318,           0.0088318
                  61,            0.028559,            0.013367,           0.0039174,              0.7468,              0.8752,             0.80448,             0.56838,            0.026143,           0.0052228,           0.0028089,            0.008812,            0.008812,            0.008812
                  62,            0.028391,            0.013024,           0.0038928,             0.75198,             0.87976,             0.80755,             0.56623,            0.025862,           0.0051993,           0.0027393,           0.0087922,           0.0087922,           0.0087922
                  63,            0.028487,            0.013032,           0.0037052,             0.75476,             0.87365,             0.80275,             0.56521,            0.026348,           0.0052204,           0.0028741,           0.0087724,           0.0087724,           0.0087724
                  64,            0.028371,            0.012873,           0.0037573,             0.74696,             0.87428,               0.803,             0.56363,            0.025997,           0.0052246,           0.0028905,           0.0087526,           0.0087526,           0.0087526
                  65,            0.028414,            0.012986,           0.0036741,             0.75444,             0.88226,             0.80361,             0.56731,            0.026142,            0.005179,           0.0028368,           0.0087328,           0.0087328,           0.0087328
                  66,            0.028088,            0.012848,           0.0035946,             0.75955,             0.87215,              0.8079,             0.56892,            0.025648,           0.0051408,           0.0027933,            0.008713,            0.008713,            0.008713
                  67,            0.028371,            0.012942,           0.0040061,             0.75732,             0.86249,             0.80028,             0.56913,            0.025952,           0.0051677,           0.0028267,           0.0086932,           0.0086932,           0.0086932
                  68,            0.028059,            0.012914,           0.0038167,             0.75589,             0.87241,             0.80104,             0.56614,            0.026069,           0.0052135,           0.0029065,           0.0086734,           0.0086734,           0.0086734
                  69,            0.027842,            0.013104,           0.0037268,             0.75804,             0.87985,             0.80402,             0.57308,            0.025576,            0.005098,           0.0028304,           0.0086536,           0.0086536,           0.0086536
                  70,            0.027907,             0.01296,           0.0037552,             0.75984,             0.88694,             0.80968,             0.57718,            0.025365,           0.0051063,           0.0027386,           0.0086338,           0.0086338,           0.0086338
                  71,            0.027835,            0.013013,           0.0037121,             0.75988,             0.87538,             0.80512,             0.57315,            0.025708,           0.0051619,           0.0027175,            0.008614,            0.008614,            0.008614
                  72,            0.027729,            0.012888,           0.0036156,             0.75315,             0.87575,             0.80452,             0.57312,            0.025831,           0.0051093,           0.0027049,           0.0085942,           0.0085942,           0.0085942
